         ,Gross claims incurred 2016 (£m) ,Gross claims incurred 2017 (£m) ,Gross claims incurred 2018 (£m) ,Gross claims incurred 2019 (£m) ,Gross claims incurred 2020 (£m) ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2016 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2017 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2018 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2019 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2020 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2016 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2017 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2018 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2019 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2020 (£m)" ,Pure net claims ratio 2016 ,Pure net claims ratio 2017 ,Pure net claims ratio 2018 ,Pure net claims ratio 2019 ,Pure net claims ratio 2020 ,Net expense ratio 2016 ,Net expense ratio 2017 ,Net expense ratio 2018 ,Net expense ratio 2019 ,Net expense ratio 2020 ,Net combined ratio 2016 ,Net combined ratio 2017 ,Net combined ratio 2018 ,Net combined ratio 2019 ,Net combined ratio 2020 ,Pure gross claims ratio 2016 ,Pure gross claims ratio 2017 ,Pure gross claims ratio 2018 ,Pure gross claims ratio 2019 ,Pure gross claims ratio 2020 ,Gross expense ratio 2016 ,Gross expense ratio 2017 ,Gross expense ratio 2018 ,Gross expense ratio 2019 ,Gross expense ratio 2020 ,Gross combined ratio 2016 ,Gross combined ratio 2017 ,Gross combined ratio 2018 ,Gross combined ratio 2019 ,Gross combined ratio 2020
Firm 21  ,0.858132867                     ,5.693864783                     ,6.187105809                     ,1.279922609                     ,11.22892106                     ,-0.6296203185                                       ,-3.994229054                                        ,-8.921332293                                        ,-9.545088098                                        ,-1.997210597                                        ,1.664297205                                         ,0.031940589                                         ,-2.278541631                                        ,-3.239403822                                        ,-0.9439037505                                       ,0.6593569515               ,0.5415075696               ,0.3974752232               ,0.1672829819               ,2.050774575                ,1.350965073            ,0.5289277236           ,0.4491685622           ,0.5131776522           ,0.2503474931           ,2.010322024             ,1.070435293             ,0.8466437854            ,0.6804606341            ,2.301122068             ,0.6025228084                 ,0.5828818842                 ,0.4287836799                 ,0.1577648167                 ,1.771712276                  ,0.683116991              ,0.3501017824             ,0.3089127226             ,0.2864609483             ,0.1641524493             ,1.285639799               ,0.9329836666              ,0.7376964024              ,0.4442257649              ,1.935864726
Firm 22  ,1368.960775                     ,1327.726709                     ,1354.789223                     ,1339.317443                     ,1364.606401                     ,3164.652442                                         ,3182.772159                                         ,2633.440866                                         ,2665.082427                                         ,2817.486825                                         ,3048.903492                                         ,3114.398047                                         ,2543.650759                                         ,2588.773362                                         ,2678.95105                                          ,0.6162385037               ,0.6202976276               ,0.6117401744               ,0.615407834                ,0.5955722354               ,0.367065472            ,0.3685039853           ,0.3694518697           ,0.3558317879           ,0.3658806199           ,0.9833039757            ,0.9888016129            ,0.981192044             ,0.9712396219            ,0.9614528553            ,0.6147325077                 ,0.5857304825                 ,0.6015106222                 ,0.58557194                   ,0.5988241103                 ,0.349026171              ,0.3502966817             ,0.3454679464             ,0.3360953026             ,0.3417473942             ,0.9637586787              ,0.9360271641              ,0.9469785686              ,0.9216672425              ,0.9405715045
Firm 23  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 24  ,35.72714304                     ,38.12310712                     ,37.55371923                     ,26.15066996                     ,-4.632354356                    ,64.44199374                                         ,64.0136197                                          ,59.14051097                                         ,57.90617161                                         ,39.94281332                                         ,60.70643335                                         ,56.20926928                                         ,53.85725505                                         ,46.84864814                                         ,31.65518137                                         ,0.4523039088               ,0.4156510551               ,0.4766518709               ,0.5116740506               ,-0.1479711144              ,0.3160446195           ,0.3068624021           ,0.3068809492           ,0.3143116256           ,0.5875788033           ,0.7683485284            ,0.7225134572            ,0.7835328201            ,0.8259856762            ,0.4396076889            ,0.4580884006                 ,0.4281863792                 ,0.4168211284                 ,0.4805477047                 ,-0.3016008635                ,0.2831544134             ,0.2754499225             ,0.2731411167             ,0.2790060523             ,0.5227455873             ,0.741242814               ,0.7036363017              ,0.6899622451              ,0.759553757               ,0.2211447238
Firm 25  ,1222.447211                     ,1572.785479                     ,1508.706214                     ,0                               ,0                               ,3669.061283                                         ,5191.832719                                         ,5126.101611                                         ,0                                                   ,0                                                   ,1384.416098                                         ,2566.393398                                         ,2569.824603                                         ,0                                                   ,0                                                   ,0.3989939341               ,0.4332446722               ,0.4402623687               ,0                          ,0                          ,0.5073957363           ,0.4643403689           ,0.4373798188           ,0                      ,0                      ,0.9063896704            ,0.8975850411            ,0.8776421875            ,0                       ,0                       ,0.5249385164                 ,0.4834542246                 ,0.4654418259                 ,0                            ,0                            ,0.4692172624             ,0.4133346014             ,0.3939752735             ,0                        ,0                        ,0.9941557788              ,0.896788826               ,0.8594170994              ,0                         ,0
Firm 26  ,157.8368919                     ,285.7115681                     ,238.6861344                     ,299.0564277                     ,313.6132949                     ,359.941442                                          ,429.3569162                                         ,671.8504992                                         ,666.9373181                                         ,694.3622218                                         ,357.3073334                                         ,394.6101242                                         ,528.009484                                          ,500.0488735                                         ,556.0322918                                         ,0.5560556762               ,0.7141834403               ,0.6889204702               ,0.6323852415               ,0.7301001101               ,0.3533174527           ,0.313903349            ,0.3388129952           ,0.3294267034           ,0.3205118161           ,0.9093731289            ,1.028086789             ,1.027733465             ,0.9618119449            ,1.050611926             ,0.5044656794                 ,0.7323713581                 ,0.5743200998                 ,0.6331439692                 ,0.6670140002                 ,0.3250363059             ,0.2853163129             ,0.3052766299             ,0.3082580184             ,0.2816758467             ,0.8295019853              ,1.017687671               ,0.8795967297              ,0.9414019876              ,0.9486898469
Firm 27  ,0.039446334                     ,-0.227885019                    ,0.012798573                     ,-0.723771548                    ,-0.8508190182                   ,2.137214037                                         ,1.909329018                                         ,1.976826773                                         ,1.172932916                                         ,0.3732059678                                        ,0.135684561                                         ,0.131133789                                         ,0.1200228255                                        ,0.06710613293                                       ,0.2769092048                                        ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,3.516635582                  ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,3.516635582               ,0                         ,0                         ,0
Firm 28  ,0.8025224943                    ,1.227811948                     ,5.393545333                     ,0                               ,0                               ,51.2683658                                          ,39.49020188                                         ,30.67925248                                         ,0                                                   ,0                                                   ,47.77386739                                         ,37.265727                                           ,29.11278289                                         ,0                                                   ,0                                                   ,-34.02283253               ,355.1539825                ,1037.510659                ,0                          ,0                          ,-90.26553749           ,466.3162457            ,541.3432356            ,0                      ,0                      ,-124.28837              ,821.4702283             ,1578.853894             ,0                       ,0                       ,-131.7399394                 ,819.7710647                  ,8321.272846                  ,0                            ,0                            ,-380.3848392             ,1302.885928              ,4087.264516              ,0                        ,0                        ,-512.1247786              ,2122.656992               ,12408.53736               ,0                         ,0
Firm 29  ,6.168499812                     ,13.83825981                     ,6.781819141                     ,0.002773292325                  ,14.25000088                     ,24.99169975                                         ,30.85255104                                         ,18.61770817                                         ,22.43117123                                         ,34.02718708                                         ,25.39933965                                         ,27.19513964                                         ,18.97997004                                         ,23.81583247                                         ,35.3444088                                          ,-0.5371989787              ,0.8516654364               ,0.4403745796               ,0.0004060429259            ,1.545537863                ,0.6401978003           ,0.6686355176           ,0.8907987523           ,0.7574576788           ,0.6039524695           ,0.1029988216            ,1.520300954             ,1.331173332             ,0.7578637217            ,2.149490332             ,0.7060338896                 ,1.626691853                  ,0.8119312411                 ,0.0003325107425              ,1.335318677                  ,0.5321692657             ,0.5463657815             ,0.5872843745             ,0.6202861794             ,0.5218047594             ,1.238203155               ,2.173057635               ,1.399215616               ,0.6206186902              ,1.857123436
Firm 30  ,-0.412423354                    ,29.51018367                     ,18.731799                       ,0                               ,0                               ,53.61561874                                         ,77.84090001                                         ,40.88944008                                         ,0                                                   ,0                                                   ,0.2311223804                                        ,-0.02267502232                                      ,-0.09776487225                                      ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,-0.1747526395                ,15.4108396                   ,8.822628644                  ,0                            ,0                            ,0.4046350338             ,0.2560345415             ,0.4847778625             ,0                        ,0                        ,0.2298823943              ,15.66687414               ,9.307406506               ,0                         ,0
