         ,Gross claims incurred 2016 (£m) ,Gross claims incurred 2017 (£m) ,Gross claims incurred 2018 (£m) ,Gross claims incurred 2019 (£m) ,Gross claims incurred 2020 (£m) ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2016 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2017 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2018 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2019 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2020 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2016 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2017 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2018 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2019 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2020 (£m)" ,Pure net claims ratio 2016 ,Pure net claims ratio 2017 ,Pure net claims ratio 2018 ,Pure net claims ratio 2019 ,Pure net claims ratio 2020 ,Net expense ratio 2016 ,Net expense ratio 2017 ,Net expense ratio 2018 ,Net expense ratio 2019 ,Net expense ratio 2020 ,Net combined ratio 2016 ,Net combined ratio 2017 ,Net combined ratio 2018 ,Net combined ratio 2019 ,Net combined ratio 2020 ,Pure gross claims ratio 2016 ,Pure gross claims ratio 2017 ,Pure gross claims ratio 2018 ,Pure gross claims ratio 2019 ,Pure gross claims ratio 2020 ,Gross expense ratio 2016 ,Gross expense ratio 2017 ,Gross expense ratio 2018 ,Gross expense ratio 2019 ,Gross expense ratio 2020 ,Gross combined ratio 2016 ,Gross combined ratio 2017 ,Gross combined ratio 2018 ,Gross combined ratio 2019 ,Gross combined ratio 2020
Firm 11  ,30.67942697                     ,51.36142024                     ,29.72083543                     ,51.77824464                     ,60.66388631                     ,174.5679509                                         ,169.2771077                                         ,143.3512384                                         ,145.9632434                                         ,155.976318                                          ,173.1311374                                         ,168.3345442                                         ,142.8484028                                         ,145.4591829                                         ,154.2656111                                         ,0.4721981462               ,0.7745538455               ,0.4377461657               ,0.7111747833               ,0.688728416                ,0.3196897265           ,0.3483674287           ,0.4118720673           ,0.2915498051           ,0.3340503849           ,0.7918878728            ,1.122921274             ,0.849618233             ,1.002724588             ,1.022778801             ,0.4684929473                 ,0.7992276002                 ,0.4357151892                 ,0.7068650519                 ,0.6896532292                 ,0.3170388377             ,0.3454277696             ,0.4091178912             ,0.288904415              ,0.3307382904             ,0.785531785               ,1.14465537                ,0.8448330804              ,0.9957694669              ,1.02039152
Firm 12  ,157.5200879                     ,83.39998713                     ,8.633278269                     ,70.75094599                     ,104.8194837                     ,249.8063584                                         ,107.5306308                                         ,82.06953373                                         ,67.56946323                                         ,138.6762904                                         ,228.8960003                                         ,98.07073619                                         ,41.40743468                                         ,22.68252703                                         ,95.88970772                                         ,0.6410945265               ,0.3485855455               ,0.09271279978              ,0.9108932631               ,0.8422687549               ,0.3862393975           ,0.7045588445           ,0.6595857841           ,0.05124443828          ,0.07689074378          ,1.027333924             ,1.05314439              ,0.7522985839            ,0.9621377014            ,0.9191594987            ,0.6591835864                 ,0.6154056175                 ,0.3897542789                 ,1.200842897                  ,0.9079833022                 ,0.3379957208             ,0.3616442804             ,0.4956022752             ,0.05101961076            ,0.07641030253            ,0.9971793072              ,0.9770498979              ,0.8853565541              ,1.251862508               ,0.9843936047
Firm 13  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 14  ,161.7221456                     ,266.3478608                     ,270.6403225                     ,241.0051251                     ,328.6349298                     ,776.478026                                          ,747.2426166                                         ,749.3339094                                         ,697.8298312                                         ,763.0359188                                         ,427.3861188                                         ,472.6379294                                         ,433.2223757                                         ,378.2796822                                         ,489.1631486                                         ,0.4004664827               ,0.7215730958               ,0.4429477984               ,0.5030473624               ,0.6947120337               ,0.458133529            ,0.4378403887           ,0.4708736091           ,0.4558300674           ,0.3931055764           ,0.8586000117            ,1.159413485             ,0.9138214075            ,0.9588774298            ,1.08781761              ,0.424469353                  ,0.6868621478                 ,0.5364585609                 ,0.5779178337                 ,0.7066027957                 ,0.393487895              ,0.3782014147             ,0.3849897273             ,0.373663189              ,0.3248522794             ,0.817957248               ,1.065063563               ,0.9214482882              ,0.9515810227              ,1.031455075
Firm 15  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 16  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 17  ,4487.909385                     ,1827.4642                       ,1776.88377                      ,3408.591632                     ,2289.62204                      ,3641.132663                                         ,3660.626302                                         ,3602.313864                                         ,4568.91471                                          ,4894.31612                                          ,3637.262425                                         ,3657.013143                                         ,3602.309137                                         ,4568.910169                                         ,4894.31612                                          ,0.7962741034               ,0.5841441933               ,0.5624171398               ,0.6851315383               ,0.5811564062               ,0.1328731535           ,0.3425707471           ,0.3257164464           ,0.259801352            ,0.3508573382           ,0.9291472569            ,0.9267149404            ,0.8881335862            ,0.9449328902            ,0.9320137444            ,0.7962764785                 ,0.5841441933                 ,0.5624171398                 ,0.6851315383                 ,0.5811564062                 ,0.1328735498             ,0.3425707471             ,0.3257164464             ,0.259801352              ,0.3508573382             ,0.9291500283              ,0.9267149404              ,0.8881335862              ,0.9449328902              ,0.9320137444
Firm 18  ,240.982119                      ,599.7388052                     ,462.6468319                     ,230.8500296                     ,324.6253122                     ,463.5213893                                         ,699.2053469                                         ,753.1448315                                         ,591.5747136                                         ,586.4947204                                         ,444.4012791                                         ,542.8845464                                         ,521.0930299                                         ,517.107697                                          ,632.7407586                                         ,0.4568982857               ,0.6065918707               ,0.4378296848               ,0.4851010365               ,0.5346939381               ,0.4362531884           ,0.4046968229           ,0.4274516638           ,0.4281028322           ,0.3130361588           ,0.8931514741            ,1.011288694             ,0.8652813485            ,0.9132038687            ,0.8477300969            ,0.4073046519                 ,0.8998003035                 ,0.6872401844                 ,0.3395554834                 ,0.4265591481                 ,0.2857720993             ,0.2827641809             ,0.2876151266             ,0.2830934347             ,0.2405468367             ,0.6930767511              ,1.182564484               ,0.974855311               ,0.6226489181              ,0.6671059848
Firm 19  ,133.4322753                     ,285.4654629                     ,229.0923053                     ,333.3285444                     ,205.1021507                     ,306.7620414                                         ,423.045889                                          ,475.3325054                                         ,502.5882772                                         ,515.835423                                          ,287.4182514                                         ,388.4271101                                         ,427.4200602                                         ,467.6371357                                         ,478.5154552                                         ,0.4521435328               ,0.8210030522               ,0.6524275173               ,0.8960492849               ,0.6296826257               ,0.4254073072           ,0.4114895453           ,0.392311104            ,0.3925522101           ,0.3882032264           ,0.8775508401            ,1.232492597             ,1.044738621             ,1.288601495             ,1.017885852             ,0.4590358427                 ,0.8321711711                 ,0.630371649                  ,0.9246724141                 ,0.5859804638                 ,0.3916277432             ,0.3760245496             ,0.351471684              ,0.3521986723             ,0.3413966177             ,0.8506635859              ,1.208195721               ,0.981843333               ,1.276871086               ,0.9273770814
Firm 20  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
