,NWP (£m) ,NWP (£m) ,NWP (£m) ,NWP (£m) ,NWP (£m) ,SCR (£m),SCR (£m),SCR (£m),SCR (£m),SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,GWP (£m),GWP (£m),GWP (£m),GWP (£m),GWP (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity]
,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE
Firm 13,3.951311508,3.669778926,3.552158862,3.37795544,2.742672477,0.8298261974,0.8018321574,0.7590810846,0.7117319703,0.7427726357,2.809309971,2.95878993,2.968059067,2.928126258,3.539438304,3.262136274,3.555660133,3.767679482,3.96426707,4.591642119,3.951311508,3.669778926,3.552158862,3.37795544,2.742672477,3.64824889,4.013255631,4.104893395,3.911355611,4.093980295,0.8389389188,1.054465701,1.136834329,0.9832293527,0.5545419902,2.809309971,2.95878993,2.968059067,2.928126258,3.539438305
Firm 14,18.68582779,19.62617074,17.88128333,11.85537223,11.85208659,10.42758377,10.09519875,9.731236651,8.140509558,8.858271527,19.95569922,22.15753039,24.19609756,26.09453408,25.54183665,1.844050635,2.114930304,2.395889989,3.088783982,2.77838685,20.39575695,21.53976079,19.62385307,13.68305427,13.77581586,56.60184143,60.50191817,56.2744825,58.36390289,61.97620664,36.64614221,37.30371706,31.34440181,31.30578481,34.28654126,19.95569922,23.19820111,24.93008069,27.05811808,27.68966508
Firm 15,5.48424219,5.892744955,6.462105763,8.340939686,9.989150745,24.95024401,26.8119758,35.53291745,45.6883661,40.45434028,52.15366273,48.85785114,55.36812442,70.38828256,57.62883079,2.014186111,1.755881177,1.501476452,1.484514082,1.372664068,6.189818866,6.855518581,6.628222605,8.409104389,10.04725683,50.13223158,48.60910234,39.20590179,33.21138791,28.06215814,-2.021431144,-0.2487487995,-16.16222263,-37.17689465,-29.56667265,52.15366273,48.85785114,55.36812442,70.38828256,57.62883079
Firm 16,0,0,0,0,0,12.1561393,0.4654450583,0.7607909942,0,0,154.5415893,20.20545993,20.63183405,0,0,12.25009019,41.83019576,26.1313624,0,0,0,0,0,0,0,171.834849,28.57844461,28.85085427,0,0,17.29325969,8.37298468,8.219020226,0,0,154.5415893,20.20545993,20.63183405,0,0
Firm 17,2642.301221,3138.881596,1437.636873,1140.486744,0,131.7219993,199.8563279,180.2623996,47.15404365,0,179.1276989,248.7130742,263.2063107,112.1931674,0,1.310370216,1.19914111,1.406956693,2.292646242,0,2642.301221,3138.881596,1437.636873,1140.486744,0,6495.641522,8971.795719,8746.358281,7993.553841,0,6316.513823,8723.082645,8483.151971,7881.360674,0,179.1276989,248.7130742,263.2063107,112.1931674,0
Firm 18,0,0,0,0,0,0.5266936365,0.389959872,0.2479630696,0.3765133078,0,6.184824301,6.195841266,6.223514242,6.275239624,0,11.31511248,15.30981503,24.18456408,16.05977895,0,0,0,0,0,0,6.398184829,6.40539315,6.427456728,6.283129449,0,0.2133605273,0.2095518844,0.2039424861,0.007889825792,0,6.184824301,6.195841266,6.223514242,6.275239624,0
Firm 19,0,0,0,1088.97984,1143.960077,0,0,0.5233316725,1316.642441,1316.647055,0,0,3.546353297,1821.44015,1822.026657,0,0,6.529720012,1.333019909,1.33344447,0,0,0,2054.684569,2167.815959,0,0,3.568974347,6851.508029,6542.888525,0,0,0.0226210498,5319.143079,5106.295468,0,0,3.546353297,1532.36495,1436.593057
Firm 20,0.004001764352,0.05240547942,0,0,0,3.260021478,1.943662631,1.783316472,2.342862015,1.863189244,7.865787272,9.761966401,9.366129948,9.276415459,10.49177276,2.324937677,4.839561394,5.060825211,3.815250516,5.426021213,0.004001764352,0.05240547942,0,0,0,24.88304359,19.79188913,18.34913408,37.40695914,33.85129139,17.01725632,10.02992273,8.983004131,28.13054368,23.35951863,7.865787272,9.761966401,9.366129948,9.276415459,10.49177278
Firm 21,0,0,0,0,0.01805789881,1.038785169,0.2394168253,20.20135771,16.91883626,19.41360238,3.652192728,3.196252342,55.66473966,46.64852054,23.2699848,3.387798153,12.86399823,2.65515087,2.656788406,1.154993524,0,0,0,0,0,4.374317118,3.885972018,111.4727028,95.58462228,74.847084,0.7221243901,0.689719676,55.80796318,39.81816079,51.5770992,3.652192728,3.196252342,55.66473966,55.76646149,23.2699848
Firm 22,48.96220322,40.9665991,35.87847772,30.78110012,25.67192735,125.0852426,123.3968269,93.07331152,103.6347185,98.5584291,160.2710516,160.6162738,121.1565983,135.371135,128.344005,1.23463502,1.254224079,1.254329063,1.258665644,1.254790999,72.92974997,62.01420133,54.81840338,48.25184265,41.86338348,2931.742958,2939.062937,2486.623485,2524.654173,2414.408104,2732.348056,2722.035767,2303.150066,2348.052762,2252.293787,199.3949017,217.0271702,183.473419,176.6014101,162.1143168
